"start_year","start_month","start_day","end_year","end_month","end_day","latitude","longitude","end_date","start_date","days_between","num_earthquakes_before_erupt","exp_num_earthquakes_before_erupt"
2015,6,16,2016,5,1,10.83,-85.324,2016-05-01,2015-06-16,320,4,0.0732625555549367
2015,6,7,2020,4,17,14.382,-90.601,2020-04-17,2015-06-07,1776,3,0.149361205103592
2015,5,29,2015,6,19,30.443,130.217,2015-06-19,2015-05-29,21,0,0
2015,5,25,2015,6,2,0.02,-91.35,2015-06-02,2015-05-25,8,0,0
2015,5,20,2015,5,27,1.358,124.792,2015-05-27,2015-05-20,7,0,0
2015,5,7,2015,5,28,12.606,-86.84,2015-05-28,2015-05-07,21,3,0.149361205103592
2015,5,1,2015,7,17,12.769,124.056,2015-07-17,2015-05-01,77,0,0
2015,4,23,2015,5,24,45.95,-130,2015-05-24,2015-04-23,31,0,0
2015,4,22,2015,5,26,-41.33,-72.618,2015-05-26,2015-04-22,34,0,0
2015,3,8,2019,10,28,10.025,-83.767,2019-10-28,2015-03-08,1695,0,0
2015,3,5,2015,6,12,12.702,-87.004,2015-06-12,2015-03-05,99,2,0.270670566473225
2015,2,16,2015,2,18,50.324,155.461,2015-02-18,2015-02-16,2,1,0.367879441171442
2015,2,4,2015,10,31,-21.244,55.708,2015-10-31,2015-02-04,269,0,0
2015,2,1,2015,8,22,-8.119,114.056,2015-08-22,2015-02-01,202,0,0
2015,1,26,2015,4,11,13.434,-88.269,2015-04-11,2015-01-26,75,2,0.270670566473225
2015,1,19,2015,4,7,-2.005,-78.341,2015-04-07,2015-01-19,78,0,0
2015,1,6,2015,3,7,1.112,124.737,2015-03-07,2015-01-06,60,0,0
2015,1,1,2015,5,10,56.056,160.642,2015-05-10,2015-01-01,129,1,0.367879441171442
2014,12,19,2015,1,23,-20.536,-175.382,2015-01-23,2014-12-19,35,4,0.0732625555549367
2014,12,18,2014,12,25,0.8,127.33,2014-12-25,2014-12-18,7,2,0.270670566473225
2014,12,3,2014,12,3,48.873,154.182,2014-12-03,2014-12-03,0,2,0.270670566473225
2014,12,2,2020,4,13,-39.42,-71.93,2020-04-13,2014-12-02,1959,0,0
2014,12,1,2014,12,15,-16.507,168.346,2014-12-15,2014-12-01,14,2,0.270670566473225
2014,11,23,2015,2,8,14.95,-24.35,2015-02-08,2014-11-23,77,0,0
2014,11,21,2015,8,10,48.98,153.48,2015-08-10,2014-11-21,262,0,0
2014,11,18,2017,5,29,4.892,-75.324,2017-05-29,2014-11-18,923,0,0
2014,11,12,2020,1,28,-57.8,-26.483,2020-01-28,2014-11-12,1903,1,0.367879441171442
2014,11,12,2014,11,15,55.417,-161.894,2014-11-15,2014-11-12,3,0,0
2014,10,29,2014,12,8,10.025,-83.767,2014-12-08,2014-10-29,40,0,0
2014,10,6,2014,10,6,-8.542,122.775,2014-10-06,2014-10-06,0,1,0.367879441171442
2014,9,27,2014,10,14,35.893,137.48,2014-10-14,2014-09-27,17,0,0
2014,9,17,2014,10,24,10.83,-85.324,2014-10-24,2014-09-17,37,4,0.0732625555549367
2014,8,30,2016,5,1,32.884,131.104,2016-05-01,2014-08-30,610,0,0
2014,8,29,2015,2,27,64.633,-17.516,2015-02-27,2014-08-29,182,0,0
2014,8,25,2015,2,17,14.382,-90.601,2015-02-17,2014-08-25,176,4,0.0732625555549367
2014,8,12,2014,10,19,13.257,123.685,2014-10-19,2014-08-12,68,0,0
2014,8,5,2014,12,27,-15.787,-71.857,2014-12-27,2014-08-05,144,2,0.270670566473225
2014,8,3,2014,8,3,30.443,130.217,2014-08-03,2014-08-03,0,0,0
2014,7,20,2014,10,1,12.702,-87.004,2014-10-01,2014-07-20,73,2,0.270670566473225
2014,7,7,2014,9,18,-4.271,152.203,2014-09-18,2014-07-07,73,5,0.0336897349954273
2014,7,4,2014,12,2,-37.856,-71.183,2014-12-02,2014-07-04,151,0,0
2014,6,29,2020,4,9,-4.08,145.037,2020-04-09,2014-06-29,2111,3,0.149361205103592
2014,6,21,2014,6,21,-21.244,55.708,2014-06-21,2014-06-21,0,0,0
2014,6,8,2016,3,15,2.781,125.407,2016-03-15,2014-06-08,646,0,0
2014,6,6,2016,3,24,53.589,159.15,2016-03-24,2014-06-06,657,1,0.367879441171442
2014,5,31,2014,6,2,55.417,-161.894,2014-06-02,2014-05-31,2,2,0.270670566473225
2014,5,30,2015,11,5,-8.2,119.07,2015-11-05,2014-05-30,524,1,0.367879441171442
2014,5,30,2016,5,14,-1.408,29.2,2016-05-14,2014-05-30,715,0,0
2014,4,24,2014,5,17,20.42,145.03,2014-05-17,2014-04-24,23,0,0
2014,4,1,2020,4,17,-8.108,112.922,2020-04-17,2014-04-01,2208,1,0.367879441171442
2014,3,31,2014,3,31,-6.102,105.423,2014-03-31,2014-03-31,0,2,0.270670566473225
2014,3,26,2014,3,27,-4.649,145.964,2014-03-27,2014-03-26,1,0,0
2014,3,9,2014,4,20,-7.54,110.446,2014-04-20,2014-03-09,42,0,0
2014,3,8,2014,9,17,-7.242,109.208,2014-09-17,2014-03-08,193,1,0.367879441171442
2014,2,13,2014,2,15,-7.93,112.308,2014-02-15,2014-02-13,2,0,0
2014,2,9,2014,2,9,2.781,125.407,2014-02-09,2014-02-09,0,0,0
2014,2,4,2014,4,11,12.702,-87.004,2014-04-11,2014-02-04,66,2,0.270670566473225
2014,2,3,2014,2,26,-0.38,100.474,2014-02-26,2014-02-03,23,0,0
2014,1,29,2014,1,29,-8.991,157.979,2014-01-29,2014-01-29,0,2,0.270670566473225
2014,1,28,2015,10,16,54.756,-163.97,2015-10-16,2014-01-28,626,0,0
2014,1,13,2014,2,19,32.884,131.104,2014-02-19,2014-01-13,37,0,0
2014,1,4,2014,1,4,-8.119,114.056,2014-01-04,2014-01-04,0,0,0
2013,12,29,2014,7,28,13.434,-88.269,2014-07-28,2013-12-29,211,2,0.270670566473225
2013,11,20,2015,11,17,27.247,140.874,2015-11-17,2013-11-20,727,2,0.270670566473225
2013,11,18,2013,11,18,-7.54,110.446,2013-11-18,2013-11-18,0,0,0
2013,10,23,2013,10,26,53.589,159.15,2013-10-26,2013-10-23,3,1,0.367879441171442
2013,10,12,2016,5,17,12.278,93.858,2016-05-17,2013-10-12,948,0,0
2013,10,5,2013,10,5,-6.77,107.6,2013-10-05,2013-10-05,0,1,0.367879441171442
2013,9,28,2013,11,20,15.05,42.18,2013-11-20,2013-09-28,53,0,0
2013,9,25,2013,9,25,12.606,-86.84,2013-09-25,2013-09-25,0,2,0.270670566473225
2013,9,15,2018,8,30,3.17,98.392,2018-08-30,2013-09-15,1810,3,0.149361205103592
2013,9,3,2020,4,17,37.748,14.999,2020-04-17,2013-09-03,2418,0,0
2013,9,1,2016,2,27,-16.355,-70.903,2016-02-27,2013-09-01,909,0,0
2013,8,20,2013,8,20,-8.53,123.57,2013-08-20,2013-08-20,0,1,0.367879441171442
2013,8,15,2013,12,20,56.056,160.642,2013-12-20,2013-08-15,127,2,0.270670566473225
2013,7,25,2013,8,12,47.35,152.475,2013-08-12,2013-07-25,18,0,0
2013,7,25,2013,7,29,-39.42,-71.93,2013-07-29,2013-07-25,4,0,0
2013,7,8,2013,12,21,-5.05,151.33,2013-12-21,2013-07-08,166,11,0.000183718708692702
2013,7,6,2013,7,6,30.484,140.303,2013-07-06,2013-07-06,0,0,0
2013,6,13,2013,10,12,56.17,-159.38,2013-10-12,2013-06-13,121,0,0
2013,6,11,2014,6,1,48.98,153.48,2014-06-01,2013-06-11,355,2,0.270670566473225
2013,6,7,2013,6,7,12.702,-87.004,2013-06-07,2013-06-07,0,2,0.270670566473225
2013,6,4,2013,6,4,30.793,130.305,2013-06-04,2013-06-04,0,0,0
2013,6,4,2013,11,29,-8.108,112.922,2013-11-29,2013-06-04,178,0,0
2013,6,2,2013,6,2,-1.697,101.264,2013-06-02,2013-06-02,0,0,0
2013,5,21,2013,6,4,10.025,-83.767,2013-06-04,2013-05-21,14,3,0.149361205103592
2013,5,13,2013,6,26,55.417,-161.894,2013-06-26,2013-05-13,44,4,0.0732625555549367
2013,5,11,2013,5,26,11.985,-86.165,2013-05-26,2013-05-11,15,2,0.270670566473225
2013,5,7,2013,5,7,13.257,123.685,2013-05-07,2013-05-07,0,1,0.367879441171442
2013,4,2,2013,11,20,-23.37,-67.73,2013-11-20,2013-04-02,232,0,0
2013,3,5,2014,4,10,14.382,-90.601,2014-04-10,2013-03-05,401,4,0.0732625555549367
2013,2,21,2013,3,6,-6.77,107.6,2013-03-06,2013-02-21,13,1,0.367879441171442
2013,2,16,2013,2,16,12.278,93.858,2013-02-16,2013-02-16,0,0,0
2013,2,16,2013,4,4,45.012,147.871,2013-04-04,2013-02-16,47,3,0.149361205103592
2013,2,13,2015,12,1,15.406,144.506,2015-12-01,2013-02-13,1021,0,0
2013,1,29,2013,2,26,-4.649,145.964,2013-02-26,2013-01-29,28,0,0
2013,1,25,2013,5,24,-2.005,-78.341,2013-05-24,2013-01-25,119,0,0
2013,1,23,2013,5,27,1.38,127.53,2013-05-27,2013-01-23,124,1,0.367879441171442
2013,1,19,2014,3,11,-4.271,152.203,2014-03-11,2013-01-19,416,2,0.270670566473225
2013,1,6,2017,3,7,19.514,-103.62,2017-03-07,2013-01-06,1521,0,0
2012,12,26,2012,12,28,12.702,-87.004,2012-12-28,2012-12-26,2,2,0.270670566473225
2012,12,22,2013,12,10,-37.856,-71.183,2013-12-10,2012-12-22,353,0,0
2012,12,1,2012,12,5,-5.525,148.42,2012-12-05,2012-12-01,4,3,0.149361205103592
2012,11,27,2013,9,5,55.832,160.326,2013-09-05,2012-11-27,282,1,0.367879441171442
2012,11,21,2012,11,21,-39.157,175.632,2012-11-21,2012-11-21,0,3,0.149361205103592
2012,11,14,2012,11,14,-39.42,-71.93,2012-11-14,2012-11-14,0,0,0
2012,11,11,2016,10,18,46.532,150.871,2016-10-18,2012-11-11,1437,0,0
2012,11,6,2012,12,11,-5.05,151.33,2012-12-11,2012-11-06,35,9,0.00111068823678012
2012,10,30,2012,12,11,18.13,145.8,2012-12-11,2012-10-30,42,1,0.367879441171442
2012,10,17,2012,10,17,10.83,-85.324,2012-10-17,2012-10-17,0,4,0.0732625555549367
2012,10,8,2013,10,31,-8.32,121.708,2013-10-31,2012-10-08,388,0,0
2012,10,5,2012,12,12,50.861,155.565,2012-12-12,2012-10-05,68,0,0
2012,9,26,2012,9,26,-0.38,100.474,2012-09-26,2012-09-26,0,1,0.367879441171442
2012,9,15,2012,9,17,0.8,127.33,2012-09-17,2012-09-15,2,1,0.367879441171442
2012,9,15,2013,9,9,1.358,124.792,2013-09-09,2012-09-15,359,1,0.367879441171442
2012,9,8,2012,9,15,12.702,-87.004,2012-09-15,2012-09-08,7,2,0.270670566473225
2012,9,5,2020,4,10,-53.106,73.513,2020-04-10,2012-09-05,2774,0,0
2012,9,1,2013,1,28,56.056,160.642,2013-01-28,2012-09-01,149,2,0.270670566473225
2012,8,26,2012,9,19,1.112,124.737,2012-09-19,2012-08-26,24,1,0.367879441171442
2012,8,16,2012,8,25,45.012,147.871,2012-08-25,2012-08-16,9,3,0.149361205103592
2012,8,7,2013,10,11,-37.52,177.18,2013-10-11,2012-08-07,430,0,0
2012,8,6,2012,8,7,-39.157,175.632,2012-08-07,2012-08-06,1,2,0.270670566473225
2012,8,3,2012,8,4,-25.887,-177.188,2012-08-04,2012-08-03,1,3,0.149361205103592
2012,7,17,2012,7,19,-31.08,-179.033,2012-07-19,2012-07-17,2,2,0.270670566473225
2012,5,14,2013,9,5,2.781,125.407,2013-09-05,2012-05-14,479,1,0.367879441171442
2012,5,13,2014,1,30,1.22,-77.37,2014-01-30,2012-05-13,627,0,0
2012,5,8,2012,5,12,-8.508,124.13,2012-05-12,2012-05-08,4,0,0
2012,5,7,2012,5,31,-5.05,151.33,2012-05-31,2012-05-07,24,9,0.00111068823678012
2012,5,3,2012,7,11,-5.576,150.516,2012-07-11,2012-05-03,69,16,1.80056279550815e-06
